Wall time,Step,Value
1618243745.8011978,15,0.0
1618244015.0259128,39,50.0
1618244048.9596982,42,50.0
1618244254.4901931,68,100.0
1618244479.0749605,91,0.0
1618245082.912269,155,0.0
1618245170.6735244,164,150.0
1618245690.4262815,226,50.0
1618245752.6434126,231,0.0
1618245954.662425,252,50.0
1618246093.6530366,270,0.0
1618246436.6750286,305,100.0
1618246453.855562,307,0.0
1618246520.9382083,315,50.0
1618246744.5214906,344,0.0
1618246938.2511945,364,0.0
1618247516.397496,418,0.0
1618247923.8303735,457,0.0
1618248074.2782354,471,50.0
1618248778.4017558,533,0.0
1618249024.072088,560,50.0
1618249179.4361,576,100.0
1618249225.7030578,583,100.0
1618249243.9112895,584,50.0
1618249762.5524,631,100.0
1618249866.6298013,644,50.0
1618249999.9372082,658,100.0
1618250102.8300576,668,50.0
1618250539.6331208,711,0.0
1618250620.510203,719,100.0
1618251047.62645,762,50.0
1618251121.4658146,766,200.0
1618251137.1013956,768,100.0
1618251254.9074974,782,0.0
1618251273.0796394,784,50.0
1618251402.819278,799,0.0
1618251484.572954,805,0.0
1618251775.756752,833,0.0
1618252999.6016958,942,50.0
1618253284.1819477,968,50.0
1618253288.7635484,969,50.0
1618253347.57578,975,100.0
1618253601.3486023,999,150.0
1618253624.2992108,1002,0.0
1618253721.8160717,1011,50.0
1618254137.673088,1060,50.0
1618254157.2213175,1063,50.0
1618254407.297586,1090,50.0
1618254462.5219462,1096,50.0
1618254516.382054,1101,0.0
1618255054.4092853,1153,100.0
1618255108.0878978,1158,50.0
1618255117.7503157,1159,0.0
1618255351.4636748,1177,150.0
1618255480.7031662,1190,0.0
1618256068.3874202,1241,150.0
1618256199.318437,1258,0.0
1618256891.6907117,1313,150.0
1618256907.0772982,1316,50.0
1618257100.7414324,1330,0.0
1618257124.0540981,1334,0.0
1618257696.9359264,1382,50.0
1618257811.0964322,1389,0.0
1618258110.2832263,1411,100.0
1618258254.3120706,1423,150.0
1618258360.1936011,1433,0.0
1618258707.900604,1463,50.0
1618258840.1492586,1474,150.0
1618258998.691069,1488,50.0
1618259399.2440646,1520,0.0
1618259818.1492052,1549,50.0
1618260034.7120664,1565,0.0
1618260258.6874173,1581,100.0
1618260336.947867,1585,50.0
1618260607.0110006,1602,0.0
1618261099.6204324,1637,0.0
1618261864.8747714,1679,300.0
1618261982.4187007,1688,50.0
1618262234.062762,1706,0.0
1618262404.1274474,1715,100.0
1618262601.9672601,1729,0.0
1618262624.5743964,1731,0.0
1618262688.330139,1734,500.0
1618263338.1096787,1778,250.0
1618264033.71216,1823,100.0
1618264326.5031347,1841,50.0
1618264599.5879753,1850,250.0
1618264821.4111204,1863,0.0
1618264863.5369713,1866,50.0
1618265010.3040369,1874,0.0
1618265659.7628446,1914,200.0
1618266029.258339,1931,700.0
1618266279.4937682,1941,150.0
1618266342.8529537,1944,0.0
1618267423.4603848,1998,250.0
1618268029.4339879,2010,0.0
1618268422.3298934,2033,0.0
1618269089.5290897,2074,400.0
1618269239.085321,2082,0.0
1618269273.142277,2086,50.0
1618269396.5605745,2093,50.0
1618270262.2489507,2146,200.0
1618270343.685607,2153,50.0
1618270773.5870297,2184,50.0
1618270851.512459,2188,100.0
1618271052.7585707,2196,50.0
1618271196.6346173,2208,0.0
1618271562.059441,2228,100.0
1618271619.5332751,2233,50.0
1618271629.5890522,2234,0.0
1618271869.6905463,2254,0.0
1618271940.2925801,2259,50.0
1618272731.7075012,2304,50.0
1618272888.9233198,2316,100.0
1618273211.847856,2342,50.0
1618273314.6412957,2351,0.0
1618273859.2808695,2386,100.0
1618273880.157963,2387,200.0
1618273907.2323654,2389,50.0
1618274509.8023903,2433,250.0
1618274730.0995216,2450,50.0
1618274757.424794,2452,50.0
1618274805.7954998,2457,0.0
1618275141.1600032,2482,50.0
1618275149.0361497,2483,0.0
1618275318.0261157,2493,0.0
1618275335.835046,2495,150.0
1618275389.4498909,2500,0.0
1618275548.241292,2514,0.0
1618275614.824347,2520,200.0
1618275720.4874094,2529,50.0
1618275915.659538,2544,50.0
1618275961.8230941,2550,0.0
1618277585.5754263,2682,150.0
1618277853.4551494,2700,150.0
1618278310.9368348,2737,50.0
1618278443.7051423,2751,0.0
1618278788.158515,2786,50.0
1618279776.6632135,2869,0.0
1618279982.4659405,2893,150.0
1618280803.768438,2964,0.0
1618280887.3748915,2972,0.0
1618281197.8619833,3008,50.0
1618281439.1244338,3035,0.0
1618281473.3313062,3038,50.0
1618281964.0354245,3096,0.0
1618282530.2521966,3158,50.0
1618282866.693995,3192,50.0
1618282870.1990194,3193,0.0
1618283139.7174892,3227,0.0
1618283193.5661693,3237,0.0
1618283234.477696,3241,50.0
1618283252.445535,3243,0.0
1618283266.3109071,3244,0.0
1618283849.4222257,3302,100.0
1618284195.5659792,3342,0.0
1618284509.466844,3373,0.0
1618284766.1597579,3400,0.0
1618284819.357146,3405,150.0
1618285005.9888132,3427,150.0
1618285203.6633768,3446,50.0
1618285420.1529114,3461,0.0
1618285572.671263,3477,0.0
1618286739.8266087,3597,50.0
1618286915.9931982,3615,0.0
1618286972.6065595,3617,50.0
1618287056.5675535,3625,50.0
1618287295.189762,3653,0.0
1618287470.1099286,3667,150.0
1618287996.645484,3723,50.0
1618288039.90798,3727,200.0
1618288134.3151085,3738,100.0
1618288619.4922488,3790,0.0
1618288849.7635586,3811,0.0
1618288892.0520809,3816,100.0
1618288910.7948415,3818,0.0
1618288997.1979842,3828,0.0
1618289293.4666455,3861,0.0
1618289438.5882478,3873,0.0
1618289968.7819042,3925,50.0
1618290263.8099396,3953,0.0
1618290571.7373233,3981,50.0
1618290951.1127532,4019,0.0
1618291044.407576,4030,100.0
1618291075.6144192,4033,50.0
1618291554.5944722,4090,50.0
1618291610.6269805,4095,0.0
1618291727.4825947,4106,0.0
1618292382.8406656,4179,0.0
1618292460.0803692,4191,0.0
1618292470.1290104,4193,0.0
1618292526.106507,4198,0.0
1618292531.2182674,4199,0.0
1618292778.7859526,4224,0.0
1618292833.3829575,4229,0.0
1618292862.8694599,4232,0.0
1618293139.266072,4260,0.0
1618293157.105334,4263,0.0
1618293425.2355952,4301,0.0
1618293522.4080262,4314,150.0
1618293550.7808168,4316,50.0
1618294202.047389,4397,0.0
1618294576.9734528,4430,50.0
1618295025.2316275,4489,0.0
1618295108.1489906,4506,0.0
1618295280.891562,4527,0.0
1618295690.2376902,4575,100.0
1618295710.382566,4578,0.0
1618296077.602742,4625,0.0
1618296438.2512019,4661,0.0
1618296471.5265439,4665,0.0
1618296531.6476562,4673,50.0
1618296870.7022111,4710,50.0
1618296899.2832358,4715,0.0
1618297206.3179703,4747,100.0
1618297279.908956,4755,50.0
1618297516.7923126,4785,0.0
1618297613.5650406,4797,0.0
1618297640.6105497,4799,0.0
1618298007.2686336,4837,0.0
1618298095.517432,4849,100.0
1618298462.6348357,4891,0.0
1618298997.5798712,4959,50.0
1618299070.0793195,4968,50.0
1618299102.0465164,4971,0.0
1618299765.5337567,5047,0.0
1618299793.7365136,5049,50.0
1618299809.6359496,5050,0.0
1618300300.155442,5103,0.0
1618300527.0418792,5131,0.0
1618301048.6741529,5197,0.0
1618301347.5640595,5236,0.0
1618302113.9250946,5326,50.0
1618302251.4223785,5342,0.0
1618302360.7035728,5356,0.0
1618302923.0688734,5417,0.0
1618303115.7939162,5439,0.0
1618303765.4446216,5512,0.0
1618303784.6406713,5514,50.0
1618304057.0107918,5546,0.0
1618304225.1118793,5570,0.0
1618304327.5983717,5584,0.0
1618304768.7895627,5627,0.0
1618305039.7247965,5657,50.0
1618305068.0207503,5661,0.0
1618305174.992435,5676,0.0
1618305474.3152895,5717,0.0
1618305491.5777063,5720,0.0
1618305872.3293557,5773,50.0
1618306103.3091643,5805,0.0
1618306259.5342183,5822,50.0
1618306280.9781241,5825,0.0
1618306521.4503214,5859,0.0
1618306528.752575,5861,0.0
1618306578.0014486,5868,50.0
1618306889.4372027,5904,0.0
1618307068.4043415,5925,0.0
1618307309.0289204,5949,50.0
1618307352.1478486,5954,50.0
1618307413.717305,5960,50.0
1618307593.8507626,5987,0.0
1618307840.7075968,6007,0.0
1618307884.3399076,6012,0.0
1618308002.1243348,6027,0.0
1618308053.510645,6032,100.0
1618308461.8019698,6075,0.0
1618308871.465929,6118,0.0
1618308932.0380569,6128,0.0
1618309294.2925882,6178,50.0
1618309458.6928668,6197,0.0
1618309573.330153,6210,0.0
1618309608.8089685,6216,0.0
1618309716.9860928,6229,0.0
1618310186.1175103,6286,0.0
1618310391.3121321,6309,0.0
1618310434.3943198,6314,0.0
1618310611.1963696,6338,50.0
1618310763.7644818,6360,50.0
1618310861.619258,6373,0.0
1618311082.034638,6397,0.0
1618311888.18777,6493,0.0
1618311910.846078,6497,50.0
1618312042.7535257,6517,0.0
1618312434.7506094,6571,0.0
1618312494.5922546,6581,0.0
1618312634.8732295,6600,50.0
1618313053.265255,6654,0.0
1618313142.056089,6663,0.0
1618313225.1278138,6675,0.0
1618313253.7582235,6678,0.0
1618313350.3631535,6693,0.0
1618313362.5877702,6696,0.0
1618313445.880288,6708,0.0
1618313640.6327314,6735,0.0
1618313670.6360834,6739,0.0
1618313729.353014,6750,0.0
1618314303.3115852,6829,0.0
1618314445.8569398,6843,0.0
1618314491.054833,6851,0.0
1618314613.041664,6866,0.0
1618315154.8443015,6931,0.0
1618315435.6007888,6963,0.0
1618315635.4090123,6989,50.0
1618315827.79951,7011,0.0
1618316479.8984995,7103,0.0
1618316554.156202,7111,0.0
1618316765.1342552,7134,0.0
1618316910.249274,7152,0.0
1618317329.769414,7213,50.0
1618317577.934805,7244,0.0
1618317980.232206,7297,50.0
1618318051.628984,7308,0.0
1618318179.303123,7326,0.0
1618318245.2979338,7336,50.0
1618318249.5501106,7337,0.0
1618318419.771459,7356,0.0
1618318611.0101132,7379,50.0
1618318719.0286028,7398,0.0
1618319066.3866343,7437,100.0
1618319089.4840372,7440,150.0
1618319151.8049903,7447,50.0
1618319248.5056837,7457,0.0
1618319273.84616,7460,0.0
1618319399.6182418,7475,0.0
1618319681.2031384,7508,50.0
1618319825.5978632,7527,0.0
1618320438.170917,7606,50.0
1618320735.8710551,7641,0.0
1618320870.1957378,7658,0.0
1618320993.5064697,7673,0.0
1618321072.329891,7684,100.0
1618321126.7762003,7690,0.0
1618321307.372974,7715,50.0
1618321369.818249,7725,0.0
1618321511.1850183,7743,0.0
1618321643.7543736,7757,0.0
